ARTICLE_ID,TITLE,SECTION_TITLE,SECTION_TEXT
326000,Josh Wolff,Career,"
===College===
Born in Stone Mountain Georgia Wolff played three years of college soccer at the University of South Carolina where he scored 21 goals and eight assists in 43 games. He played at South Carolina with future United States national team star Clint Mathis. In addition Wolff played and captained varsity soccer at Parkview High School Lilburn Georgia.

===Professional===
After his junior season Wolff left college and signed with Major League Soccer. MLS assigned Wolff to the Chicago Fire. He set the MLS rookie scoring record (together with Jeff Cunningham since broken by Damani Ralph) by scoring eight goals doing so in just 14 games with only four starts. Wolff played the following four seasons for the Fire scoring 24 goals but suffered through multiple injuries.

Before the 2003 MLS Superdraft the Fire traded Wolff in a cost-cutting move to the Kansas City Wizards in exchange for the third overall pick which the Fire used to select Nate Jaqua.  Wolff missed most of the 2003 season due to injuries.  He rebounded in 2004 by scoring ten goals and seven assists during the season. Wolff scored his first career playoff goal on a penalty kick during the MLS Cup 2004. He scored ten goals and ten assists in 2005.

In September 2006 Wolff had a try out with English Championship club Derby County. The team was pleased enough with his performance to offer MLS a $500000 transfer fee. However British immigration officials denied Wolff a work permit based on the fact he had failed to play the required 75% of the U.S. national team's games in the previous two years.

From England Wolff traveled to Germany for a try out with 2. Fußball-Bundesliga club 1860 Munich. On December 6 2006 1860 Munich signed Wolff to a contract through the 2007–2008 season. Munich paid MLS a $191000 transfer fee. Wolff joined the team during its January 2007 mid-winter training camp but was waived at the end of the 2008 season.

Wolff signed with the Kansas City Wizards on June 30 2008. At the end of the 2010 MLS season after two and a half seasons back in Kansas City Wolff's contract option was declined by the club.

On December 15 2010 Wolff was selected by D.C. United in Stage 2 of the 2010 MLS Re-Entry Draft and immediately signed a one-year contract with a club option for 2012.

Wolff announced his retirement on November 28 2012 and became a full-time assistant coach with D.C. United. He joined the Columbus Crew in November 2013.

===International===
Wolff during training for the U.S. national team
Wolff has scored nine goals in fifty-two caps since his debut against Jamaica on September 8 1999. He also starred for the US in the 2000 Summer Olympics scoring two goals and helping the team to a fourth-place finish. As with his club teams however Wolff has had trouble securing a definite spot because of continual injury problems. He did play for the United States in the 2002 World Cup assisting on the opening goal in the second-round win against Mexico. On May 2 2006 Wolff was named to the US roster for the FIFA World Cup in Germany. Wolff played his last national team match versus Spain at Estadio El Sardinero on June 4 2008.

====International goals====



 Goal 

 Date 

 Venue 

 Opponent 

 Score 

 Result 

 Competition



 1 

 October 25 2000 

 Los Angeles 

  

 '''2'''–0 

 2–0 

 Friendly match



 2 

 February 28 2001 

 Columbus Ohio 

  

 '''1'''–0 

 2–0 

 2002 World Cup qualification



 3 

 April 25 2001 

 Kansas City Missouri 

  

 '''1'''–0 

 1–0 

 2002 World Cup qualification



 4 

 February 2 2002 

 Pasadena California 

  

 '''1'''–0 

 2–0 

 2002 CONCACAF Gold Cup



 5 

 May 16 2002 

 East Rutherford New Jersey 

  

 '''1'''–0 

 5–0 

 Friendly match



 6 

 '''3'''–0



 7 

 June 20 2004 

 St. George's Grenada 

  

 '''2'''–1 

 3–2 

 2006 World Cup qualification



 8 

 July 16 2005 

 Foxborough Massachusetts 

  

 '''1'''–0 

 3–1 

 2005 CONCACAF Gold Cup



 9 

 November 12 2005 

 Glasgow Scotland 

  

 '''1'''–0 

 1–1 

 Friendly match



"
776692,CONSORT Colleges,External links,"* CONSORT Home Page




"
256651,Angela Burdett-Coutts 1st Baroness Burdett-Coutts,Legacy,"Charles Dickens dedicated his novel ''Martin Chuzzlewit'' to her and she had many royal and eminent friends. The book ''Flashman's Lady'' by George MacDonald Fraser makes reference to her (fictional) love for James Brooke (The White Rajah) and his rejection of her due to his physical affliction. Angela Burdett-Coutts also features in Terry Pratchett's novel ''Dodger''; in an afterword he states that part of his reason for writing the book was to bring Burdett-Coutts to the attention of modern readers.
"
654633,Jermuk,Sport,"The 2012 Women's Grand Prix International Chess Tournament of Jermuk
Jermuk is one of the major centres for winter sports in Armenia. A 900-meters long cableway serves the ski area located at the southeast of the town. The works for the second phase of the ski lift are ongoing in order to boost the winter tourism in the region.  

Jermuk is a regular venue for international chess tournaments. Each year during the summer the town hosts the '''FIDE Grand Prix Jermuk''' chess tournament.

The town has a large indoor sports palace dating back to the Soviet days.

"
38041,Chief financial officer,Qualification,"Most CFOs of large companies have finance qualifications such as a Master of Business Administration Master of Science or come from an accounting background such as a Certified Public Accountant. A finance department would usually contain some accountants with Certified Public Accountant Chartered Accountant Certified Management Accountant Chartered Certified Accountant or equivalent status such as master of finance.
"
481866,Saddam Hussein and al-Qaeda link allegations,Background,"
Just prior to Saddam's invasion of Kuwait Saddam turned to religion perhaps to bolster his government (for example adding the words ""God is Great"" in Arabic to the flag and referring to God in his speeches).  After Saddam lost the Gulf War (and facing widespread rebellions from the Shia majority) he identified more closely with Islam by hosting international conferences and broadcasting Islamic sermons on national radio. In 1994 Saddam began his ""Faith Campaign"" in which he began to build mosques changed laws to outlaw public drinking required Baathist officials to attend prayers and held Quran reciting competitions.

Some sources allege that several meetings between top Iraqi operatives and bin Laden took place but these claims have been disputed by many other sources including most of the original intelligence agencies that investigated these sources in the first place. Many in the intelligence community are skeptical about whether such meetings if they took place at all ever resulted in any meaningful relationship. Many of the claims of actual collaboration seem to have originated with people associated with the Iraqi National Congress whose credibility has been impeached and who have been accused of manipulating the evidence in order to lure the United States into war on false pretenses. In addition many of the raw intelligence reports came to the awareness of the public through the leaking of a memo sent from Undersecretary of Defense for Policy Douglas J. Feith to the Senate Select Committee on Intelligence the conclusions of which have been disputed by intelligence agencies including the CIA.  Feith’s view of the relationship between Saddam and Osama differed from the official view of the intelligence community.  The memo was subsequently leaked to the media.  The Pentagon issued a statement cautioning that the memo was ""a classified annex containing a list and description of the requested reports so that the committee could obtain the reports from the relevant members of the intelligence community...The classified annex was not an analysis of the substantive issue of the relationship between Iraq and al Qaeda and it drew no conclusions.""  The Pentagon warned that ""Individuals who leak or purport to leak classified information are doing serious harm to national security; such activity is deplorable and may be illegal."" Former head of the Middle East section of the DIA W. Patrick Lang told the Washington Post that the Weekly Standard article which published Feith's memo ""is a listing of a mass of unconfirmed reports many of which themselves indicate that the two groups continued to try to establish some sort of relationship. If they had such a productive relationship why did they have to keep trying?""  And according to the Post ""another former senior intelligence official said the memo is not an intelligence product but rather 'data points ... among the millions of holdings of the intelligence agencies many of which are simply not thought likely to be true.'""

Some have suggested that an understanding was reached between Iraq and al-Qaeda namely that al-Qaeda would not act against Saddam in exchange for Iraqi support primarily in the form of training.  No evidence of such an understanding has ever been produced.  Some reports claim that Mohamed Atta met with an Iraqi intelligence operative in Prague but intelligence officials have concluded that no such meeting took place. A training camp in Salman Pak south of Baghdad was said by a number of defectors to have been used to train international terrorists (assumed to be al-Qaeda members) in hijacking techniques using a real airplane as a prop. The defectors were inconsistent about a number of details. The camp has been examined by U.S. Marines and intelligence analysts do not believe it was used by al-Qaeda. Some of these analysts believe it was actually used for counterterrorism training while others believe it was used to train foreign fighters overtly aligned with Iraq. The Senate Select Committee on Intelligence concluded that ""Postwar findings support the April 2002 Defense Intelligence Agency (DIA) assessment that there was no credible reporting on al-Qa'ida training at Salman Pak or anywhere else in Iraq. There have been no credible reports since the war that Iraq trained al-Qa'ida operatives at Salman Pak to conduct or support transnational terrorist operations.""

In November 2001 a month after the September 11th attacks Mubarak al-Duri was contacted by Sudanese intelligence services who informed him that the FBI had sent Jack Cloonan and several other agents to speak with a number of people known to have ties to Bin Laden. al-Duri and another Iraqi colleague agreed to meet with Cloonan in a safe house overseen by the intelligence service. They were asked whether there was any possible connection between Saddam Hussein and al-Qaeda and laughed stating that Bin Laden hated the dictator who he believed was a ""Scotch-drinking woman-chasing apostate.”
"
614454,Pipes of Peace,Track listing,"All songs written by Paul McCartney except ""Say Say Say"" and ""The Man"" co-written by Michael Jackson and ""Hey Hey"" co-written by Stanley Clarke.

;Side one
#""Pipes of Peace"" – 3:56
#""Say Say Say"" – 3:55
#*''Duet with Michael Jackson''
#""The Other Me"" – 3:58
#""Keep Under Cover"" – 3:05
#""So Bad"" – 3:20

;Side two
#""The Man"" – 3:55
#*''Duet with Michael Jackson''
#""Sweetest Little Show"" – 2:54
#""Average Person"" – 4:33
#""Hey Hey"" – 2:54
#""Tug of Peace"" – 2:54
#""Through Our Love"" – 3:28

;Bonus tracks


===2015 remaster===
In 2015 the album was re-issued by Hear Music/Concord Music Group as part of the six set of releases alongside ''Tug of War'' in the ''Paul McCartney Archive Collection''. It was released in multiple formats:

*'''Standard Edition''' 2-CD; the original 11-track album on the first disc plus 9 bonus tracks on a second disc.
*'''Deluxe Edition''' 2CD/1DVD Box Set + 112 page essay book and 64 page behind the scenes book about the music video for the song ""Pipes of Peace""
*'''Remastered vinyl''' The albums will also be available on special gatefold vinyl editions (vinyl editions include a download card).

Digital
Standard:
Standard Res - without Ebooklet
Standard Res – with Ebooklet
Mastered for iTunes – without Ebooklet
Hi-Res - 24bit 96 kHz – with Ebooklet -

Deluxe:
Standard Res (with or without Ebooklet)
Mastered for iTunes (with Ebooklet)
Hi-Res - 24bit 96 kHz (with Ebooklet)

;Disc 1 – remastered album
The original 11-track album.

;Disc 2 – bonus audio
#""Average Person"" (demo) – 4:05
#""Keep Under Cover"" (demo) - 3:44
#""Sweetest Little Show"" (demo) – 3:00
#""It's Not On"" (demo) – 2:56
#""Simple as That"" (demo) – 3:16
#""Say Say Say"" (2015 remix) – 6:59
#: ''Tracks 1-6 are previously unreleased''
#""Ode to a Koala Bear"" – 3:48
#: ''B-side to ""Say Say Say"" single''
#""Twice in a Lifetime"" – 3:02
#: ''Title song for a 1985 film of the same name''
#""Christian Bop"" – 2:03
#: ''Previously unreleased''

;Additional download tracks available via paulmccartney.com
#""Say Say Say (Instrumental)"" (2015 remix) - 3:41

;Disc 3 – DVD
#""Pipes of Peace"" Music Video
#""So Bad"" Music Video
#""Say Say Say"" Music Video
#""Hey Hey in Montserrat"" (previously unreleased home movie footage 3mins)
#""Behind the Scenes at AIR Studios"" (previously unreleased 6 min edit)
#""The Man"" (previously unreleased home movie footage 4mins)
"
785670,Alias Jesse James,Cast,"* Bob Hope as Milford Farnsworth 
* Rhonda Fleming as Cora Lee Collins 
* Wendell Corey as Jesse James
* Gloria Talbott as Princess Irawanie
* Jim Davis as Frank James
* Will Wright as Titus Queasley 
* Mary Young as 'Ma' James
* Jack Lambert as Snake Brice
* Mickey Finn as Tough #2 in Dirty Dog Saloon 
* Bob Gunderson as James Gang member 
* Fred Kohler Jr. as James Gang member
* Ethan Laidlaw as James Gang member 
* Glenn Strange as James Gang member
"
298927,Hringhorni,Mythology,"According to ''Gylfaginning'' following the murder of Baldr by Loki the other gods brought his body down to the sea and laid him to rest on the ship. They would have launched it out into the water and kindled a funeral pyre for Baldr but were unable to move the great vessel without the help of the giantess Hyrrokkin who was sent for out of Jötunheim. She then flung the ship so violently down the rollers at the first push that flames appeared and the earth trembled much to the annoyance of Thor.

Along with Baldr his wife Nanna was also borne to the funeral pyre after she had died of grief. As Thor was consecrating the fire with his hammer Mjolnir a dwarf named Litr began cavorting at his feet. Thor then kicked him into the flames and the dwarf was burned up as well. The significance of this seemingly incidental event is speculative but may perhaps find a parallel in religious ritual. Among other artifacts and creatures sacrificed on the pyre of ''Hringhorni'' were Odin's gold ring Draupnir and the horse of Baldr with all its trappings.
"
390758,Post–World War I recession,North America,"In North America the recession immediately following World War I was extremely brief lasting for only 7 months from August 1918 to March 1919.  A second much more severe recession sometimes labeled a depression began in January 1920.  Several indices of economic activity suggest the recession was moderately severe.  The Axe-Houghton Index of Index of Trade and Industrial Activity declined by 14.1% in this recession (compared to a 31% decline in the Panic of 1907).  The Babson index of physical volume of business activity declined by 28.6% in this recession (compared to a 2.3% decline in the 1921 recession and a 22.7% decline in the Panic of 1907).
"
117317,Consumer choice,Introduction,"
The theory of '''consumer choice''' is the branch of microeconomics that relates preferences to consumption expenditures and to consumer demand curves. It analyzes how consumers maximize the 
desirability of their consumption as measured by their preferences subject to limitations on their expenditures by maximizing utility subject to a consumer budget constraint.

Consumption is separated from production logically because two different economic agents are involved. In the first case consumption is by the primary individual; in the second case a producer might make something that he would not consume himself. Therefore different motivations and abilities are involved. The models that make up consumer theory are used to represent prospectively observable demand patterns for an individual buyer on the hypothesis of constrained optimization.  Prominent variables used to explain the rate at which the good is purchased (demanded) are the price per unit of that good prices of related goods and wealth of the consumer.

The law of demand states that the rate of consumption falls as the price of the good rises even when the consumer is monetarily compensated for the effect of the higher price; this is called the substitution effect. As the price of a good rises consumers will substitute away from that good choosing  more of other alternatives. If no compensation for the price rise occurs as is usual then the decline in overall purchasing power due to the price rise leads for most goods to a further decline in the quantity demanded; this is called the income effect.

In addition as the wealth of the individual rises demand for most products increases shifting the demand curve higher at all possible prices.

The basic problem of consumer theory takes the following inputs:
* The '''consumption set''' ''C'' – the set of all bundles that the consumer could conceivably consume.
* A preference relation over the bundles of ''C''. This preference relation can be described as an ordinal utility function describing the utility that the consumer derives from each bundle.
* A '''price system''' which is a function assigning a price to each bundle.
* An '''initial endowment''' which is a bundle from ''C'' that the consumer initially holds. The consumer can sell all or some of his initial bundle in the given prices and can buy another bundle in the given prices. He has to decide which bundle to buy under the given prices and budget in order to maximize his utility.
"
595774,Artificial tears,Research,"A 2016 Cochrane Review seeking to compare the effectiveness of various over the counter artificial tears in treating dry eye. While the review stated that is unclear which artificial tear formulation works best two trials found that 0.2% polyacrylic acid-based tears were more effective in treating dry eye symptoms over 1.4% polyvinyl alcohol-based tears.
"
751042,The Net (album),Introduction,"




'''''The Net''''' is the seventh studio album by Little River Band which was released in May 1983. It marks what has become historically the major crossroad in the band's musical direction. There stand several significant factors surrounding this record – it contained the band's last two singles to reach the Top 40 on the ''Billboard'' Hot 100 in the United States with ""We Two"" reaching No. 22 and ""You're Driving Me out of My Mind"" peaking at No. 35. The album peaked at No. 11 on the Australian Kent Music Report albums chart and No. 61 on the ''Billboard'' 200.

''The Net'' was their first full studio release to feature John Farnham as new lead vocalist replacing Glenn Shorrock and Stephen Housden taking up the mantle of lead guitarist. It is also the last album featuring original members lead guitarist Beeb Birtles who permanently left the line-up after the US Tour in support of its release and drummer Derek Pellicci who would rejoin the band in 1987.
"
208177,HMS Hood (1891),External links,"

*  Maritimequest HMS Hood Photo Gallery
* Photograph of the wreck of the ''Hood'' in Portland harbour 7 May 2007




* http://www.census.nationalarchives.ie/reels/nai001905545/












"
664244,Vano Muradeli,Introduction,"Vano Muradeli
'''Vano Muradeli''' (; ;  in Gori – 14 August 1970 in Tomsk) was a Soviet Georgian composer.

He was born in Gori Georgia (then part of Imperial Russia) to Armenian parents. He graduated from Tbilisi State Conservatory in 1931. From 1934 to 1938 he worked at the Moscow Conservatory. From 1942 to 1944 he served as a principal and artistic director of the Central Ensemble of the Soviet Navy. In 1946 he was awarded the Stalin Prize. In 1948 his opera ''The Great Friendship'' was censured by the resolution of the Communist Party Central Committee. After Joseph Stalin's death he was restored to favor and granted the title of the People's Artist of the USSR in 1968. His later works include the operetta ''Moscow-Paris-Moscow'' (1968).
"
712326,Mark Venturini,External links,"* 








"
311850,Southern California Institute of Architecture,Introduction,"


'''SCI-Arc''' in Los Angeles California is an independent non-profit school offering undergraduate graduate and postgraduate degrees in architecture. Founded in 1972 SCI-Arc was initially regarded as - both institutionally and artistically - more avant-garde than traditional architecture schools based in the United States. The school consists of approximately 500 students and 80 faculty members some of whom are practicing architects. It is based in the quarter-mile long () former Santa Fe Freight Depot in the Arts District in downtown Los Angeles and offers a variety of community events such as outreach programs free exhibitions and public lectures.
"
217293,Graham Edwards (politician),Introduction,"





'''Graham John Edwards''' AM (born 18 July 1946) is an Australian soldier veteran's advocate and Labor Party member representing the Division of Cowan in the Australian House of Representatives from 1998 to 2007.

He was born in Kalgoorlie Western Australia and voluntarily joined the Australian Army for service in the Vietnam War in 1968. On 12 May 1970 he was severely injured losing both legs. After leaving the Army he joined the Department of Defence as an officer with the Vietnam Veterans' Counselling Service. He was elected to the Council of the City of Stirling in 1981.

Edwards was elected to the Western Australian Legislative Council in 1983. He was Parliamentary Secretary to the Cabinet 1987 Minister for Sport and Recreation 1987-89 Minister for Consumer Affairs 1988-93 Minister for Racing and Gaming Sport and Recreation and Youth 1989-90 Minister for Police and Emergency Services 1990-93 Minister for the Aged 1990-91. Following the defeat of the Labor government of Carmen Lawrence in 1993 he was Leader of the Opposition in the Legislative Council and Shadow Minister for Tourism and Fisheries 1993-94. He retired from the Legislative Council in 1997.

Graham Edwards was first elected to the Australian parliament at the 1998 federal election. He retired from politics at the 2007 federal election.

He competed in the 1993 Hanoi Marathon. At the time he was 46 years old.  At the time he was Western Australia's Minister for police emergency services and sport and recreation. At the 2000 Summer Paralympics he served as an Athlete Liaison Officer (ALO). In 2000 he was the Chairman of the Australian Paralympic Committee for W.A.
"
65630,Fairview Missouri,Introduction,"

'''Fairview''' is a city in Newton County Missouri United States. The population was 383 at the 2010 census. It is part of the Joplin Missouri Metropolitan Statistical Area. 
"
23926,Scutum (constellation),Introduction,"



'''Scutum''' is a small constellation introduced in the seventeenth century. Its name is Latin for shield.
"
172870,Haemophilus ducreyi,Pathogenesis,"''H. ducreyi'' is an opportunistic microorganism that infects its host by way of breaks in the skin or epidermis. Inflammation then takes place as the area of infection is inundated with lymphocytes macrophages and granulocytes. This pyrogenic inflammation causes regional lymphadenitis in the sexually transmitted bacillus chancroid.
"
252461,Frankie Poullain,References,"
"
55820,Charlestown Indiana,References,"
"
497227,Languages of Uganda,Languages,"In all of the Bantu speaking areas of Uganda dialect continua are very common. For example people around Mbarara speak Nkole and people from Fort Portal in Toro District speak Tooro but in the area between those towns there are villages where most of the people speak a dialect that is best characterised as intermediate between Nkole and Tooro. In recognition of the closeness of four of these languages (Nkole Tooro Kiga and Nyoro) and to facilitate work in them such as teaching a standardised version called ""Runyakitara"" was developed around 1990.

In south central Uganda the Bantu languages of Luganda and Soga are largely interintelligible. This dialectic similarity also extends to the Lussese language spoken in the Ssese Islands of Lake Victoria.

Of Nilo-Saharan the Eastern Sudanic branch is well represented by several Nilotic languages eastern as well as western. Eastern Nilotic languages include Karamojong of eastern Uganda (population 370000) the Bari languages in the extreme north-western corner (about 150000 population) and Teso south of Lake Kyoga (999537 population). Alur (population 459000) Acholi Lango Adhola and Kuman of eastern Uganda are Western Nilotic Luo languages. (Acholi and Lango are interintelligible and sometimes the term ""Luo"" is used to cover them.)

Some southern Nilotic Kalenjin languages are spoken along the border with Kenya including Pokot and the Elgon languages near Kupsabiny. The eastern Ugandan Kuliak languages Ik and Soo are also members of the Eastern Sudanic branch. Lugbara Aringa Ma'di and Ndo of north-western Uganda are languages of the Central Sudanic branch of Nilo-Saharan.
"
458028,Gabriel Andrew Dirac,Education,"Dirac received his Ph.D. in 1952 from the University of London under Richard Rado.
"
286307,Cornerstone (software),History and development,"In the 1980s Infocom was widely known as a computer game developer and publisher.  It developed the most popular works of interactive fiction available at the time and in fact can be considered a pioneer of the genre.

However games were only considered a ""jumping off"" point for the company.  Infocom was originally established as an outlet to develop ""serious"" products.  Before forming the company several of the founders had created the game ''Zork'' on mainframes while attending or working at MIT.  When they joined to form Infocom ''Zork'' was a natural choice as a first product because it was practically complete and didn't require much up-front funding.  The enormous success of the game and its ""sequels"" (which were actually the other portions of the original mainframe game which had been split into pieces that early personal computers could handle) led to the development of more interactive titles due in large part to the highly portable technology the company developed for intelligent parsing.  Despite the overwhelming success of its numerous game titles the original founders of Infocom were still intent on developing serious titles.  In addition business software was seen as more lucrative than game titles since business traditionally paid thousands of dollars for each copy of software applications. After some deliberation Infocom's board of directors decided to develop a relational database application for business users.

===Contemporary databases===
Database applications contemporary with Cornerstone were fairly inaccessible to non-programmers.  The leading database application of the day ''dBase II'' required complex command-line commands even for the simplest operations.  The Cornerstone developers were determined to make ease-of-use their chief priority. Dozens of people were hired in programming marketing and other areas to swell Infocom's ranks to over 100 employees.

===Funding===
While development of Cornerstone was going well it required an enormous amount of capital.  Infocom borrowed heavily and used a sole source of venture capital.  Profits from their interactive fiction titles were diverted to help fund Cornerstone a move that disturbed many employees of the game division and led to an adversarial attitude towards the business division among some.

===Design decisions===
One development decision that proved fateful for the product—and the company as a whole—was the decision to make Cornerstone run via a virtual machine (VM).  The use of Infocom's ""Z-machine"" for its interactive titles had been a huge boon: since all the games were written in an intermediate language (called ZIL) the company could release one title for every major platform simultaneously.  The developers hoped to do the same for Cornerstone and its subsequent products.  The existing VM proved unsuitable for the database application so a new one was written for the product.  The developers produced the VM for the IBM PC first planning to write VMs for other platforms after the initial PC release.
"
440441,Eugene Lang,References,"




















"
259437,Mega Man Legends,References,"










"
529164,New Hampshire Route 38,Road names used,"Route 38 uses the following local road names:

;Pelham
*Bridge Street
*Gage Hill Road
;Salem
*Lowell Road
*Pleasant Street
"
430994,Teletype Model 33,External links,"


*  Photo of a Model 33 ASR
*  Keyboard layout for Windows that simulates the ASR33 keyboard
*  ASR 33 Teletype Information with movies and sound





"
